at,account_id,cohort_month,payout_number,requested_usd,allowed_usd,gross_usd,received_usd,balance_before_usd,balance_after_usd,outstanding_after_usd,binding_cap
2020-11-05 00:00:00,4,2020-04,1,2668.9,668.9,668.9,668.9,52768.9,52100.0,0.0,safety_net
2020-11-14 00:00:00,5,2020-05,1,2595.05,595.05,595.05,595.05,52695.05,52100.0,0.0,safety_net
2021-01-06 00:00:00,3,2020-03,1,2502.75,502.75,502.75,502.75,52602.75,52100.0,0.0,safety_net
2021-01-08 00:00:00,4,2020-04,2,2600.15,600.15,600.15,600.15,52700.15,52100.0,0.0,safety_net
2021-01-08 00:00:00,7,2020-07,1,2617.4,617.4,617.4,617.4,52717.4,52100.0,0.0,safety_net
2021-01-09 00:00:00,5,2020-05,2,2625.3,625.3,625.3,625.3,52725.3,52100.0,0.0,safety_net
2022-02-16 00:00:00,31,2021-06,1,2531.65,531.65,531.65,531.65,52631.65,52100.0,0.0,safety_net
2022-02-16 00:00:00,32,2021-06,1,2673.35,673.35,673.35,673.35,52773.35,52100.0,0.0,safety_net
2022-02-17 00:00:00,35,2021-10,1,2521.35,521.35,521.35,521.35,52621.35,52100.0,0.0,safety_net
2022-02-22 00:00:00,30,2021-06,1,2603.0,603.0,603.0,603.0,52703.0,52100.0,0.0,safety_net
2022-02-22 00:00:00,33,2021-08,1,2607.1,607.1,607.1,607.1,52707.1,52100.0,0.0,safety_net
2022-02-23 00:00:00,34,2021-09,1,3112.3,1112.3,1112.3,1112.3,53212.3,52100.0,0.0,safety_net
2022-02-26 00:00:00,31,2021-06,2,2944.5,944.5,944.5,944.5,53044.5,52100.0,0.0,safety_net
2022-02-26 00:00:00,32,2021-06,2,2944.5,944.5,944.5,944.5,53044.5,52100.0,0.0,safety_net
2022-03-01 00:00:00,35,2021-10,2,2989.55,989.55,989.55,989.55,53089.55,52100.0,0.0,safety_net
2022-03-23 00:00:00,30,2021-06,2,2710.05,710.05,710.05,710.05,52810.05,52100.0,0.0,safety_net
2022-03-23 00:00:00,33,2021-08,2,2710.05,710.05,710.05,710.05,52810.05,52100.0,0.0,safety_net
2022-04-13 00:00:00,37,2022-01,1,2539.55,539.55,539.55,539.55,52639.55,52100.0,0.0,safety_net
2022-04-14 00:00:00,29,2021-05,1,2513.7,513.7,513.7,513.7,52613.7,52100.0,0.0,safety_net
2022-04-14 00:00:00,30,2021-06,3,2561.4,561.4,561.4,561.4,52661.4,52100.0,0.0,safety_net
2022-04-14 00:00:00,31,2021-06,3,2541.5,541.5,541.5,541.5,52641.5,52100.0,0.0,safety_net
2022-04-14 00:00:00,32,2021-06,3,2541.5,541.5,541.5,541.5,52641.5,52100.0,0.0,safety_net
2022-04-14 00:00:00,33,2021-08,3,2561.4,561.4,561.4,561.4,52661.4,52100.0,0.0,safety_net
2022-04-14 00:00:00,34,2021-09,2,2563.65,563.65,563.65,563.65,52663.65,52100.0,0.0,safety_net
2022-04-14 00:00:00,38,2022-02,1,2681.4,681.4,681.4,681.4,52781.4,52100.0,0.0,safety_net
2022-04-19 00:00:00,35,2021-10,3,2663.45,663.45,663.45,663.45,52763.45,52100.0,0.0,safety_net
2022-04-20 00:00:00,36,2021-11,1,2538.65,538.65,538.65,538.65,52638.65,52100.0,0.0,safety_net
2022-04-26 00:00:00,37,2022-01,2,2846.3,846.3,846.3,846.3,52946.3,52100.0,0.0,safety_net
2022-08-06 00:00:00,72,2022-07,1,2612.75,612.75,612.75,612.75,52712.75,52100.0,0.0,safety_net
2022-08-06 00:00:00,73,2022-07,1,2612.75,612.75,612.75,612.75,52712.75,52100.0,0.0,safety_net
2022-08-06 00:00:00,74,2022-07,1,2612.75,612.75,612.75,612.75,52712.75,52100.0,0.0,safety_net
2022-08-06 00:00:00,75,2022-07,1,2612.75,612.75,612.75,612.75,52712.75,52100.0,0.0,safety_net
2022-08-06 00:00:00,76,2022-07,1,2612.75,612.75,612.75,612.75,52712.75,52100.0,0.0,safety_net
2022-08-06 00:00:00,77,2022-07,1,2612.75,612.75,612.75,612.75,52712.75,52100.0,0.0,safety_net
2022-08-06 00:00:00,78,2022-07,1,2612.75,612.75,612.75,612.75,52712.75,52100.0,0.0,safety_net
2022-08-06 00:00:00,79,2022-07,1,2612.75,612.75,612.75,612.75,52712.75,52100.0,0.0,safety_net
2022-08-06 00:00:00,80,2022-07,1,2612.75,612.75,612.75,612.75,52712.75,52100.0,0.0,safety_net
2022-08-06 00:00:00,81,2022-07,1,2612.75,612.75,612.75,612.75,52712.75,52100.0,0.0,safety_net
2022-08-06 00:00:00,82,2022-07,1,2612.75,612.75,612.75,612.75,52712.75,52100.0,0.0,safety_net
2022-08-06 00:00:00,83,2022-07,1,2612.75,612.75,612.75,612.75,52712.75,52100.0,0.0,safety_net
2022-08-06 00:00:00,84,2022-07,1,2612.75,612.75,612.75,612.75,52712.75,52100.0,0.0,safety_net
2022-08-06 00:00:00,85,2022-07,1,2612.75,612.75,612.75,612.75,52712.75,52100.0,0.0,safety_net
2022-08-06 00:00:00,86,2022-07,1,2612.75,612.75,612.75,612.75,52712.75,52100.0,0.0,safety_net
2022-08-06 00:00:00,87,2022-07,1,2612.75,612.75,612.75,612.75,52712.75,52100.0,0.0,safety_net
2022-08-06 00:00:00,88,2022-07,1,2612.75,612.75,612.75,612.75,52712.75,52100.0,0.0,safety_net
2022-08-17 00:00:00,69,2022-06,1,2623.45,623.45,623.45,623.45,52723.45,52100.0,0.0,safety_net
2022-08-17 00:00:00,70,2022-06,1,2623.45,623.45,623.45,623.45,52723.45,52100.0,0.0,safety_net
2022-08-17 00:00:00,71,2022-06,1,2623.45,623.45,623.45,623.45,52723.45,52100.0,0.0,safety_net
2022-08-18 00:00:00,72,2022-07,2,2544.1,544.1,544.1,544.1,52644.1,52100.0,0.0,safety_net
2022-08-18 00:00:00,73,2022-07,2,2544.1,544.1,544.1,544.1,52644.1,52100.0,0.0,safety_net
2022-08-18 00:00:00,74,2022-07,2,2544.1,544.1,544.1,544.1,52644.1,52100.0,0.0,safety_net
2022-08-18 00:00:00,75,2022-07,2,2544.1,544.1,544.1,544.1,52644.1,52100.0,0.0,safety_net
2022-08-18 00:00:00,76,2022-07,2,2544.1,544.1,544.1,544.1,52644.1,52100.0,0.0,safety_net
2022-08-18 00:00:00,77,2022-07,2,2544.1,544.1,544.1,544.1,52644.1,52100.0,0.0,safety_net
2022-08-18 00:00:00,78,2022-07,2,2544.1,544.1,544.1,544.1,52644.1,52100.0,0.0,safety_net
2022-08-18 00:00:00,79,2022-07,2,2544.1,544.1,544.1,544.1,52644.1,52100.0,0.0,safety_net
2022-08-18 00:00:00,80,2022-07,2,2544.1,544.1,544.1,544.1,52644.1,52100.0,0.0,safety_net
2022-08-18 00:00:00,81,2022-07,2,2544.1,544.1,544.1,544.1,52644.1,52100.0,0.0,safety_net
2022-08-18 00:00:00,82,2022-07,2,2544.1,544.1,544.1,544.1,52644.1,52100.0,0.0,safety_net
2022-08-18 00:00:00,83,2022-07,2,2544.1,544.1,544.1,544.1,52644.1,52100.0,0.0,safety_net
2022-08-18 00:00:00,84,2022-07,2,2544.1,544.1,544.1,544.1,52644.1,52100.0,0.0,safety_net
2022-08-18 00:00:00,85,2022-07,2,2544.1,544.1,544.1,544.1,52644.1,52100.0,0.0,safety_net
2022-08-18 00:00:00,86,2022-07,2,2544.1,544.1,544.1,544.1,52644.1,52100.0,0.0,safety_net
2022-08-18 00:00:00,87,2022-07,2,2544.1,544.1,544.1,544.1,52644.1,52100.0,0.0,safety_net
2022-08-18 00:00:00,88,2022-07,2,2544.1,544.1,544.1,544.1,52644.1,52100.0,0.0,safety_net
2022-09-30 00:00:00,69,2022-06,2,2533.35,533.35,533.35,533.35,52633.35,52100.0,0.0,safety_net
2022-09-30 00:00:00,70,2022-06,2,2533.35,533.35,533.35,533.35,52633.35,52100.0,0.0,safety_net
2022-09-30 00:00:00,71,2022-06,2,2533.35,533.35,533.35,533.35,52633.35,52100.0,0.0,safety_net
2022-10-05 00:00:00,72,2022-07,3,2639.8,639.8,639.8,639.8,52739.8,52100.0,0.0,safety_net
2022-10-05 00:00:00,73,2022-07,3,2639.8,639.8,639.8,639.8,52739.8,52100.0,0.0,safety_net
2022-10-05 00:00:00,74,2022-07,3,2639.8,639.8,639.8,639.8,52739.8,52100.0,0.0,safety_net
2022-10-05 00:00:00,75,2022-07,3,2639.8,639.8,639.8,639.8,52739.8,52100.0,0.0,safety_net
2022-10-05 00:00:00,76,2022-07,3,2639.8,639.8,639.8,639.8,52739.8,52100.0,0.0,safety_net
2022-10-05 00:00:00,77,2022-07,3,2639.8,639.8,639.8,639.8,52739.8,52100.0,0.0,safety_net
2022-10-05 00:00:00,78,2022-07,3,2639.8,639.8,639.8,639.8,52739.8,52100.0,0.0,safety_net
2022-10-05 00:00:00,79,2022-07,3,2639.8,639.8,639.8,639.8,52739.8,52100.0,0.0,safety_net
2022-10-05 00:00:00,80,2022-07,3,2639.8,639.8,639.8,639.8,52739.8,52100.0,0.0,safety_net
2022-10-05 00:00:00,81,2022-07,3,2639.8,639.8,639.8,639.8,52739.8,52100.0,0.0,safety_net
2022-10-05 00:00:00,82,2022-07,3,2639.8,639.8,639.8,639.8,52739.8,52100.0,0.0,safety_net
2022-10-05 00:00:00,83,2022-07,3,2639.8,639.8,639.8,639.8,52739.8,52100.0,0.0,safety_net
2022-10-05 00:00:00,84,2022-07,3,2639.8,639.8,639.8,639.8,52739.8,52100.0,0.0,safety_net
2022-10-05 00:00:00,85,2022-07,3,2639.8,639.8,639.8,639.8,52739.8,52100.0,0.0,safety_net
2022-10-05 00:00:00,86,2022-07,3,2639.8,639.8,639.8,639.8,52739.8,52100.0,0.0,safety_net
2022-10-05 00:00:00,87,2022-07,3,2639.8,639.8,639.8,639.8,52739.8,52100.0,0.0,safety_net
2022-10-05 00:00:00,88,2022-07,3,2639.8,639.8,639.8,639.8,52739.8,52100.0,0.0,safety_net
2023-03-17 00:00:00,69,2022-06,3,2511.0,511.0,511.0,511.0,52611.0,52100.0,0.0,safety_net
2023-03-17 00:00:00,70,2022-06,3,2511.0,511.0,511.0,511.0,52611.0,52100.0,0.0,safety_net
2023-03-17 00:00:00,71,2022-06,3,2511.0,511.0,511.0,511.0,52611.0,52100.0,0.0,safety_net
2023-03-22 00:00:00,72,2022-07,4,2669.1,2000.0,2000.0,2000.0,52769.1,50769.1,0.0,maximum_payout
2023-03-22 00:00:00,73,2022-07,4,2669.1,2000.0,2000.0,2000.0,52769.1,50769.1,0.0,maximum_payout
2023-03-22 00:00:00,74,2022-07,4,2669.1,2000.0,2000.0,2000.0,52769.1,50769.1,0.0,maximum_payout
2023-03-22 00:00:00,75,2022-07,4,2669.1,2000.0,2000.0,2000.0,52769.1,50769.1,0.0,maximum_payout
2023-03-22 00:00:00,76,2022-07,4,2669.1,2000.0,2000.0,2000.0,52769.1,50769.1,0.0,maximum_payout
2023-03-22 00:00:00,77,2022-07,4,2669.1,2000.0,2000.0,2000.0,52769.1,50769.1,0.0,maximum_payout
2023-03-22 00:00:00,78,2022-07,4,2669.1,2000.0,2000.0,2000.0,52769.1,50769.1,0.0,maximum_payout
2023-03-22 00:00:00,79,2022-07,4,2669.1,2000.0,2000.0,2000.0,52769.1,50769.1,0.0,maximum_payout
2023-03-22 00:00:00,80,2022-07,4,2669.1,2000.0,2000.0,2000.0,52769.1,50769.1,0.0,maximum_payout
2023-03-22 00:00:00,81,2022-07,4,2669.1,2000.0,2000.0,2000.0,52769.1,50769.1,0.0,maximum_payout
2023-03-22 00:00:00,82,2022-07,4,2669.1,2000.0,2000.0,2000.0,52769.1,50769.1,0.0,maximum_payout
2023-03-22 00:00:00,83,2022-07,4,2669.1,2000.0,2000.0,2000.0,52769.1,50769.1,0.0,maximum_payout
2023-03-22 00:00:00,84,2022-07,4,2669.1,2000.0,2000.0,2000.0,52769.1,50769.1,0.0,maximum_payout
2023-03-22 00:00:00,85,2022-07,4,2669.1,2000.0,2000.0,2000.0,52769.1,50769.1,0.0,maximum_payout
2023-03-22 00:00:00,86,2022-07,4,2669.1,2000.0,2000.0,2000.0,52769.1,50769.1,0.0,maximum_payout
2023-03-22 00:00:00,87,2022-07,4,2669.1,2000.0,2000.0,2000.0,52769.1,50769.1,0.0,maximum_payout
2023-03-22 00:00:00,88,2022-07,4,2669.1,2000.0,2000.0,2000.0,52769.1,50769.1,0.0,maximum_payout
2023-04-01 00:00:00,69,2022-06,4,2538.75,2000.0,2000.0,2000.0,52638.75,50638.75,0.0,maximum_payout
2023-04-01 00:00:00,70,2022-06,4,2538.75,2000.0,2000.0,2000.0,52638.75,50638.75,0.0,maximum_payout
2023-04-01 00:00:00,71,2022-06,4,2538.75,2000.0,2000.0,2000.0,52638.75,50638.75,0.0,maximum_payout
2023-09-02 00:00:00,72,2022-07,5,2709.75,2000.0,2000.0,2000.0,52809.75,50809.75,0.0,maximum_payout
2023-09-02 00:00:00,73,2022-07,5,2709.75,2000.0,2000.0,2000.0,52809.75,50809.75,0.0,maximum_payout
2023-09-02 00:00:00,74,2022-07,5,2709.75,2000.0,2000.0,2000.0,52809.75,50809.75,0.0,maximum_payout
2023-09-02 00:00:00,75,2022-07,5,2709.75,2000.0,2000.0,2000.0,52809.75,50809.75,0.0,maximum_payout
2023-09-02 00:00:00,76,2022-07,5,2709.75,2000.0,2000.0,2000.0,52809.75,50809.75,0.0,maximum_payout
2023-09-02 00:00:00,77,2022-07,5,2709.75,2000.0,2000.0,2000.0,52809.75,50809.75,0.0,maximum_payout
2023-09-02 00:00:00,78,2022-07,5,2709.75,2000.0,2000.0,2000.0,52809.75,50809.75,0.0,maximum_payout
2023-09-02 00:00:00,79,2022-07,5,2709.75,2000.0,2000.0,2000.0,52809.75,50809.75,0.0,maximum_payout
